Common-Name	Pathway	Pathway_parent_1	Pathway_parent_2	Pathway_parent_3	Pathway_parent_4	Pathway_parent_5	Pathway_parent_6	Pathway_parent_7
guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II	PWY-7222	Guanosine-Deoxy-Denovo-Biosynthesis	Purine-Deoxyribonuc-De-Novo-Biosynthesis	Deoxyribonucleotide-Biosynthesis // Purine-Nucleotide-De-Novo-Biosynthesis	Nucleotide-Biosynthesis // PUR-NUC-SYN	Biosynthesis // Nucleotide-Biosynthesis	Pathways // Biosynthesis	Generalized-Reactions // Pathways
guanosine nucleotides degradation III	PWY-6608	Guanosine-Nucleotides-Degradation	Purine-Degradation	NUCLEO-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
guanosine ribonucleotides <i>de novo</i> biosynthesis	PWY-7221	Purine-Ribonuc-De-Novo-Biosynthesis	Purine-Nucleotide-De-Novo-Biosynthesis	PUR-NUC-SYN	Nucleotide-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
heme <i>b</i> biosynthesis I (aerobic)	HEME-BIOSYNTHESIS-II	Heme-b-Biosynthesis	HEME-SYN	Enzyme-Cofactor-Biosynthesis // Porphyrin-Compounds-Biosynthesis	Cofactor-Biosynthesis // Tetrapyrrole-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
heme <i>b</i> biosynthesis II (oxygen-independent)	HEMESYN2-PWY	Heme-b-Biosynthesis	HEME-SYN	Enzyme-Cofactor-Biosynthesis // Porphyrin-Compounds-Biosynthesis	Cofactor-Biosynthesis // Tetrapyrrole-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
heterolactic fermentation	P122-PWY	Fermentation-to-Lactate // Pyruvate-Ethanol-Fermentation	Fermentation-to-Acids // Alcohol-Biosynthesis // Pyruvate-Degradation	Fermentation	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES
hexitol fermentation to lactate, formate, ethanol and acetate	P461-PWY	Acetate-Formation // Fermentation-to-Lactate // Pyruvate-Ethanol-Fermentation // SUGAR-ALCOHOLS-DEG // Super-Pathways	Fermentation-to-Acids // Alcohol-Biosynthesis // Pyruvate-Degradation // Alcohol-Degradation // Carbohydrates-Degradation // Pathways	Fermentation // Degradation // Generalized-Reactions	Energy-Metabolism // Pathways // FRAMES	Pathways // Generalized-Reactions // THINGS	Generalized-Reactions // FRAMES // 	FRAMES // THINGS // 
homolactic fermentation	ANAEROFRUCAT-PWY	Fermentation-to-Lactate // Super-Pathways	Fermentation-to-Acids // Pathways	Fermentation // Generalized-Reactions	Energy-Metabolism // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
incomplete reductive TCA cycle	P42-PWY	Reductive-TCA-Cycles	Autotrophic-CO2-Fixation	CO2-Fixation	C1-COMPOUNDS	Degradation	Pathways	Generalized-Reactions
inosine 5'-phosphate degradation	PWY-5695	Purine-Degradation	NUCLEO-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
inosine-5'-phosphate biosynthesis I	PWY-6123	IMP-Biosynthesis	Purine-Ribonuc-De-Novo-Biosynthesis	Purine-Nucleotide-De-Novo-Biosynthesis	PUR-NUC-SYN	Nucleotide-Biosynthesis	Biosynthesis	Pathways
inosine-5'-phosphate biosynthesis III	PWY-7234	IMP-Biosynthesis	Purine-Ribonuc-De-Novo-Biosynthesis	Purine-Nucleotide-De-Novo-Biosynthesis	PUR-NUC-SYN	Nucleotide-Biosynthesis	Biosynthesis	Pathways
isoprene biosynthesis II (engineered)	PWY-7391	ISOPRENOIDS	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
isopropanol biosynthesis (engineered)	PWY-6876	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS		
Kdo transfer to lipid IV<sub>A</sub> (<i>Chlamydia</i>)	PWY-6467	KDO-Lipid-IV-Transfer // Super-Pathways	Lipopolysaccharide-Biosynthesis // Pathways	Cell-Structure-Biosynthesis // Glycan-Pathways // Generalized-Reactions	Biosynthesis // Pathways // FRAMES	Pathways // Generalized-Reactions // THINGS	Generalized-Reactions // FRAMES // 	FRAMES // THINGS // 
ketogluconate metabolism	KETOGLUCONMET-PWY	Aldonate-Degradation // Super-Pathways	CARBOXYLATES-DEG // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 	THINGS // 
L-arabinose degradation IV	PWY-7295	L-Arabinose-Degradation	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
L-arginine biosynthesis I (via L-ornithine)	ARGSYN-PWY	ARGININE-SYN // Super-Pathways	IND-AMINO-ACID-SYN // Pathways	Amino-Acid-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
L-arginine biosynthesis II (acetyl cycle)	ARGSYNBSUB-PWY	ARGININE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
L-arginine biosynthesis III (via <i>N</i>-acetyl-L-citrulline)	PWY-5154	ARGININE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
L-arginine biosynthesis IV (archaea)	PWY-7400	ARGININE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
L-arginine degradation II (AST pathway)	AST-PWY	ARGININE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
L-arginine degradation V (arginine deiminase pathway)	ARGDEGRAD-PWY	ARGININE-DEG // Super-Pathways	Proteinogenic-Amino-Acids-Degradation // Pathways	Amino-Acid-Degradation // Generalized-Reactions	Degradation // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
L-fucose degradation I	FUCCAT-PWY	L-Fucose-Degradation	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
L-glutamate and L-glutamine biosynthesis	PWY-5505	GLUTAMATE-SYN // GLUTAMINE-SYN // Metabolic-Clusters // Super-Pathways	IND-AMINO-ACID-SYN // Pathways	Amino-Acid-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
L-glutamate degradation VIII (to propanoate)	PWY-5088	Fermentation-to-propanoate // GLUTAMATE-DEG // Super-Pathways	Fermentation-to-Acids // Proteinogenic-Amino-Acids-Degradation // Pathways	Fermentation // Amino-Acid-Degradation // Generalized-Reactions	Energy-Metabolism // Degradation // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
L-histidine biosynthesis	HISTSYN-PWY	HISTIDINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
L-histidine degradation I	HISDEG-PWY	HISTIDINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
L-histidine degradation II	PWY-5028	HISTIDINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
L-isoleucine biosynthesis I (from threonine)	ILEUSYN-PWY	ISOLEUCINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
L-isoleucine biosynthesis II	PWY-5101	ISOLEUCINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
L-isoleucine biosynthesis III	PWY-5103	ISOLEUCINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
L-isoleucine biosynthesis IV	PWY-5104	ISOLEUCINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
L-leucine degradation I	LEU-DEG2-PWY	LEUCINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
L-lysine biosynthesis I	DAPLYSINESYN-PWY	LYSINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
L-lysine biosynthesis II	PWY-2941	LYSINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
L-lysine biosynthesis III	PWY-2942	LYSINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
L-lysine biosynthesis VI	PWY-5097	LYSINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
L-lysine fermentation to acetate and butanoate	P163-PWY	Acetate-Formation // Acetyl-CoA-Butyrate // LYSINE-DEG	Fermentation-to-Acids // Proteinogenic-Amino-Acids-Degradation	Fermentation // Amino-Acid-Degradation	Energy-Metabolism // Degradation	Pathways	Generalized-Reactions	FRAMES
L-methionine biosynthesis I	HOMOSER-METSYN-PWY	Methionine-De-novo-Biosynthesis	METHIONINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
L-methionine biosynthesis III	HSERMETANA-PWY	Methionine-De-novo-Biosynthesis // Super-Pathways	METHIONINE-SYN // Pathways	IND-AMINO-ACID-SYN // Generalized-Reactions	Amino-Acid-Biosynthesis // FRAMES	Biosynthesis // THINGS	Pathways // 	Generalized-Reactions // 
L-methionine salvage cycle III	PWY-7527	Methionine-Salvage // Super-Pathways	METHIONINE-SYN // Pathways	IND-AMINO-ACID-SYN // Generalized-Reactions	Amino-Acid-Biosynthesis // FRAMES	Biosynthesis // THINGS	Pathways // 	Generalized-Reactions // 
L-ornithine biosynthesis I	GLUTORN-PWY	L-Ornithine-Biosynthesis	Other-Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
L-rhamnose degradation I	RHAMCAT-PWY	L-rhamnose-Degradation	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
L-rhamnose degradation II	PWY-6713	L-rhamnose-Degradation	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
L-tryptophan biosynthesis	TRPSYN-PWY	TRYPTOPHAN-BIOSYNTHESIS	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
L-tryptophan degradation IX	PWY-5655	Super-Pathways // TRYPTOPHAN-DEG	Pathways // Proteinogenic-Amino-Acids-Degradation	Generalized-Reactions // Amino-Acid-Degradation	FRAMES // Degradation	THINGS // Pathways	 // Generalized-Reactions	 // FRAMES
L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	PWY-5651	TRYPTOPHAN-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
L-tryptophan degradation XII (Geobacillus)	PWY-6505	Super-Pathways // TRYPTOPHAN-DEG	Pathways // Proteinogenic-Amino-Acids-Degradation	Generalized-Reactions // Amino-Acid-Degradation	FRAMES // Degradation	THINGS // Pathways	 // Generalized-Reactions	 // FRAMES
L-tyrosine degradation I	TYRFUMCAT-PWY	TYROSINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
L-valine biosynthesis	VALSYN-PWY	VALINE-BIOSYNTHESIS	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
L-valine degradation I	VALDEG-PWY	VALINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
lactose degradation I	LACTOSECAT-PWY	LACTOSE-DEG	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
lipid IV<sub>A</sub> biosynthesis (<i>E. coli</i>)	NAGLIPASYN-PWY	Lipid-IV-A-Biosynthesis	Lipid-Biosynthesis // Lipopolysaccharide-Biosynthesis	Biosynthesis // Cell-Structure-Biosynthesis // Glycan-Pathways	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions	THINGS // FRAMES
mandelate degradation I	PWY-1501	MANDELATE-DEG	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
mandelate degradation to acetyl-CoA	PWY-6957	MANDELATE-DEG // Super-Pathways	AROMATIC-COMPOUNDS-DEGRADATION // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 	THINGS // 
<i>meta</i> cleavage pathway of aromatic compounds	PWY-5430	Benzoate-Degradation // Super-Pathways	AROMATIC-COMPOUNDS-DEGRADATION // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 	THINGS // 
methanogenesis from acetate	METH-ACETATE-PWY	METHANOGENESIS	ANAEROBIC-RESPIRATION	Respiration	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES
methanol oxidation to carbon dioxide	PWY-7616	Alcohol-Degradation // Detoxification // Super-Pathways	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 	
methyl ketone biosynthesis (engineered)	PWY-7007	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS		
methylaspartate cycle	PWY-6728	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS		
methylerythritol phosphate pathway I	NONMEVIPP-PWY	MEP-Pathways	Isopentenyl-Diphosphate-Biosynthesis	ISOPRENOIDS	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
methylerythritol phosphate pathway II	PWY-7560	MEP-Pathways	Isopentenyl-Diphosphate-Biosynthesis	ISOPRENOIDS	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
methylgallate degradation	METHYLGALLATE-DEGRADATION-PWY	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS	
methylphosphonate degradation I	PWY0-1533	Methylphosphonate-Degradation	Phosphonate-Degradation	Phophonate-Metabolism	Phosphorus-Compounds	Noncarbon-Nutrients	Degradation	Pathways
mevalonate pathway I (eukaryotes and bacteria)	PWY-922	Mevalonate-Pathways	Isopentenyl-Diphosphate-Biosynthesis	ISOPRENOIDS	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
mixed acid fermentation	FERMENTATION-PWY	Fermentation-to-Acids // Pyruvate-Ethanol-Fermentation // Super-Pathways	Fermentation // Alcohol-Biosynthesis // Pyruvate-Degradation // Pathways	Energy-Metabolism // Fermentation // Generalized-Reactions	Pathways // Energy-Metabolism // FRAMES	Generalized-Reactions // Pathways // THINGS	FRAMES // Generalized-Reactions // 	THINGS // FRAMES // 
mono-<i>trans</i>, poly-<i>cis</i> decaprenyl phosphate biosynthesis	PWY-6383	Lipid-Anchor-Biosynthesis // Polyprenyl-Biosynthesis	Carriers-Biosynthesis // Biosynthesis	Cofactor-Biosynthesis // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 
mycolate biosynthesis	PWYG-321	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
mycolyl-arabinogalactan-peptidoglycan complex biosynthesis	PWY-6397	Cell-Wall-Biosynthesis // Glycan-Pathways	Cell-Structure-Biosynthesis // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 	THINGS // 
mycothiol biosynthesis	PWY1G-0	Reductants	Other-biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
<i>myo</i>-, <i>chiro</i>- and <i>scyllo</i>-inositol degradation	PWY-7237	CYCLITOLS-DEG // Super-Pathways	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 	
<I>myo</I>-inositol degradation I	P562-PWY	CYCLITOLS-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS	
NAD <i>de novo</i> biosynthesis I	PYRIDNUCSYN-PWY	NAD-SYN	Enzyme-Cofactor-Biosynthesis // NAD-Metabolism	Cofactor-Biosynthesis // Electron-Carrier-Biosynthesis // Enzyme-Cofactor-Biosynthesis	Biosynthesis // Carriers-Biosynthesis // Cofactor-Biosynthesis	Pathways // Cofactor-Biosynthesis // Biosynthesis	Generalized-Reactions // Biosynthesis // Pathways	FRAMES // Pathways // Generalized-Reactions
NAD <i>de novo</i> biosynthesis II (from tryptophan)	NADSYN-PWY	NAD-SYN // Super-Pathways	Enzyme-Cofactor-Biosynthesis // NAD-Metabolism // Pathways	Cofactor-Biosynthesis // Electron-Carrier-Biosynthesis // Enzyme-Cofactor-Biosynthesis // Generalized-Reactions	Biosynthesis // Carriers-Biosynthesis // Cofactor-Biosynthesis // FRAMES	Pathways // Cofactor-Biosynthesis // Biosynthesis // THINGS	Generalized-Reactions // Biosynthesis // Pathways // 	FRAMES // Pathways // Generalized-Reactions // 
NAD salvage pathway I (PNC VI cycle)	PYRIDNUCSAL-PWY	NAD-SYN	Enzyme-Cofactor-Biosynthesis // NAD-Metabolism	Cofactor-Biosynthesis // Electron-Carrier-Biosynthesis // Enzyme-Cofactor-Biosynthesis	Biosynthesis // Carriers-Biosynthesis // Cofactor-Biosynthesis	Pathways // Cofactor-Biosynthesis // Biosynthesis	Generalized-Reactions // Biosynthesis // Pathways	FRAMES // Pathways // Generalized-Reactions
NAD salvage pathway III (to nicotinamide riboside)	NAD-BIOSYNTHESIS-II	NAD-SYN	Enzyme-Cofactor-Biosynthesis // NAD-Metabolism	Cofactor-Biosynthesis // Electron-Carrier-Biosynthesis // Enzyme-Cofactor-Biosynthesis	Biosynthesis // Carriers-Biosynthesis // Cofactor-Biosynthesis	Pathways // Cofactor-Biosynthesis // Biosynthesis	Generalized-Reactions // Biosynthesis // Pathways	FRAMES // Pathways // Generalized-Reactions
naphthalene degradation (aerobic)	PWY-5427	Naphthalene-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
naphthalene degradation to acetyl-CoA	PWY-6956	AROMATIC-COMPOUNDS-DEGRADATION // Super-Pathways	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 	
nicotinate degradation I	PWY-722	Nicotinate-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
nitrate reduction I (denitrification)	DENITRIFICATION-PWY	ANAEROBIC-RESPIRATION // Denitrification // Nitrate-Reduction	Respiration // NITROGEN-DEG	Energy-Metabolism // Noncarbon-Nutrients	Pathways // Degradation	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions	THINGS // FRAMES
nitrate reduction VI (assimilatory)	PWY490-3	Nitrate-Reduction	NITROGEN-DEG	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions	FRAMES
norspermidine biosynthesis	PWY-6562	Polyamine-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS	
nylon-6 oligomer degradation	P621-PWY	Other-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS	
<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>)	OANTIGEN-PWY	Metabolic-Clusters // SUGAR-NUCLEOTIDES // Super-Pathways	Pathways // CARBO-BIOSYNTHESIS	Generalized-Reactions // Carbohydrates-Biosynthesis	FRAMES // Biosynthesis	THINGS // Pathways	 // Generalized-Reactions	 // FRAMES
octane oxidation	P221-PWY	Other-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS	
oleate biosynthesis IV (anaerobic)	PWY-7664	Oleate-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
palmitate biosynthesis II (type II fatty acid synthase)	PWY-5971	Palmitate-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	PWY-6282	Palmitoleate-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
partial TCA cycle (obligate autotrophs)	PWY-5913	TCA-VARIANTS	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS	
pentose phosphate pathway	PENTOSE-P-PWY	Pentose-Phosphate-Cycle // Super-Pathways	Energy-Metabolism // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 	
pentose phosphate pathway (non-oxidative branch) I	NONOXIPENT-PWY	Pentose-Phosphate-Cycle	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS	
peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	PEPTIDOGLYCANSYN-PWY	Peptidoglycan-Biosynthesis // Super-Pathways	Cell-Wall-Biosynthesis // Pathways	Cell-Structure-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
peptidoglycan biosynthesis II (staphylococci)	PWY-5265	Peptidoglycan-Biosynthesis // Super-Pathways	Cell-Wall-Biosynthesis // Pathways	Cell-Structure-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
peptidoglycan biosynthesis III (mycobacteria)	PWY-6385	Peptidoglycan-Biosynthesis // Super-Pathways	Cell-Wall-Biosynthesis // Pathways	Cell-Structure-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
peptidoglycan biosynthesis IV (<i>Enterococcus faecium</i>)	PWY-6471	Antibiotic-Resistance // Peptidoglycan-Biosynthesis // Super-Pathways	Detoxification // Cell-Wall-Biosynthesis // Pathways	Pathways // Cell-Structure-Biosynthesis // Generalized-Reactions	Generalized-Reactions // Biosynthesis // FRAMES	FRAMES // Pathways // THINGS	THINGS // Generalized-Reactions // 	 // FRAMES
peptidoglycan biosynthesis V (&beta;-lactam resistance)	PWY-6470	Antibiotic-Resistance // Peptidoglycan-Biosynthesis // Super-Pathways	Detoxification // Cell-Wall-Biosynthesis // Pathways	Pathways // Cell-Structure-Biosynthesis // Generalized-Reactions	Generalized-Reactions // Biosynthesis // FRAMES	FRAMES // Pathways // THINGS	THINGS // Generalized-Reactions // 	 // FRAMES
peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)	PWY0-1586	Peptidoglycan-Biosynthesis	Cell-Wall-Biosynthesis	Cell-Structure-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
peptidoglycan recycling I	PWY0-1261	Anhydromuropeptides-Recycling	Other-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
phenylacetate degradation I (aerobic)	PWY0-321	Phenylacetate-Degradation	Phenolic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
phosphatidylglycerol biosynthesis I	PWY4FS-7	PhosphatidylglycerolBiosynthesis // Super-Pathways	Phospholipid-Biosynthesis // Pathways	Lipid-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
phosphatidylglycerol biosynthesis II	PWY4FS-8	PhosphatidylglycerolBiosynthesis // Super-Pathways	Phospholipid-Biosynthesis // Pathways	Lipid-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
phospholipases	LIPASYN-PWY	Fatty-Acid-and-Lipid-Degradation // Metabolic-Clusters	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 	
phosphopantothenate biosynthesis I	PANTO-PWY	Pantothenate-Biosynthesis	CoA-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
photorespiration I	PWY-181	Photorespiration	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS	
poly(glycerol phosphate) wall teichoic acid biosynthesis	TEICHOICACID-PWY	Teichoic-Acids-Biosynthesis	Cell-Wall-Biosynthesis	Cell-Structure-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
polyisoprenoid biosynthesis (<i>E. coli</i>)	POLYISOPRENSYN-PWY	Polyprenyl-Biosynthesis // Super-Pathways	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 	
polymyxin resistance	PWY0-1338	Antibiotic-Resistance // Lipopolysaccharide-Biosynthesis	Detoxification // Cell-Structure-Biosynthesis // Glycan-Pathways	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions	THINGS // FRAMES	 // THINGS
ppGpp metabolism	PPGPPMET-PWY	Metabolic-Regulators	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS	
preQ<sub>0</sub> biosynthesis	PWY-6703	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS	
protocatechuate degradation I (<I>meta</I>-cleavage pathway)	P184-PWY	Protocatechuate-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
protocatechuate degradation II (ortho-cleavage pathway)	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	Protocatechuate-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
purine nucleobases degradation I (anaerobic)	P164-PWY	Fermentation // Purine-Degradation	Energy-Metabolism // NUCLEO-DEG	Pathways // Degradation	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions	THINGS // FRAMES	 // THINGS
purine nucleotides degradation II (aerobic)	PWY-6353	Purine-Degradation // Super-Pathways	NUCLEO-DEG // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 	THINGS // 
purine ribonucleosides degradation	PWY0-1296	Purine-Degradation	NUCLEO-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
pyridoxal 5'-phosphate biosynthesis I	PYRIDOXSYN-PWY	Vitamin-B6-Biosynthesis	Enzyme-Cofactor-Biosynthesis // Vitamin-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
